brand,category,sku,spu,product
SKT,洁面,SKINTIFIC-19,卸妆膏,卸妆膏
G2G,精华,G2G-214,VC精華液,完美VC精华17ml
SKT,气垫,SKINTIFIC-326NW系列,水光粉气垫,【SKINTIFIC】無瑕水光粉氣墊(多色)
SKT,洁面,SKINTIFIC-33,5X洗面奶,5X洗面奶小样
SKT,气垫,SKINTIFIC-1341,柔霧控油藍氣墊,哑光蓝色气垫01 11g
TP,唇部,TCP133009,多用唇泥,多用唇泥罐009
TP,面部,TQD11302N,水光气垫,水光气垫02N
TP,面部,TQD11300N,水光气垫,水光气垫00N
SKT,气垫,SKINTIFIC-272,無暇金氣墊替換芯,金色气垫02-替
SKT,其他/赠品,SKINTIFIC-297,祛痘粉水,祛痘粉水10ml
SKT,面霜,SKINTIFIC-334,5X面霜,5X面霜100g
G2G,面霜,G2G-38,积雪草保湿凝露30g,GLAD2GLOW 舒緩保濕凝露 30g
SKT,套组,SKINTIFIC-463001W,SKINTIFIC 旅行修護亮白組,SKINTIFIC 旅行修護亮白組
TP,唇部,TCC102402,黑管染唇液,染唇液002
G2G,洗面奶,G2G-212,VC洗面乳,完美VC洁面乳80g
TP,唇部,TCC102008,黑管染唇液,染唇液08
SKT,气垫,SKINTIFIC-2490N,光泽白气垫,光泽气垫00N
TP,唇部,TCC140012,水霧唇釉,水雾唇釉012
SKT,气垫,SKINTIFIC-2491N,光泽白气垫,光泽气垫01N
TP,唇部,TCC138004,琉璃亮面唇漆,亮面唇漆 004
SKT,面霜,SKINTIFIC-79,VC面霜,VC 面霜 30g
SKT,气垫,SKINTIFIC-134系列(含NW),柔霧控油藍氣墊,【SKINTIFIC】啞光氣墊/柔霧控油氣墊 11g (多色)
TP,唇部,TCC102001,黑管染唇液,染唇液01
SKT,防晒,SKINTIFIC-329,美白防晒霜,美白防晒霜
SKT,气垫,SKINTIFIC-263,無暇金氣墊,金色气垫03
SKT,气垫,SKINTIFIC-262,無暇金氣墊,金色气垫02
TP,唇部,TCC102401,黑管染唇液,染唇液001
G2G,面霜,G2G-250,視黃醇面霜,视黄醇面霜100g
SKT,气垫,SKINTIFIC-1340,柔霧控油藍氣墊,哑光蓝色气垫00 11g
SKT,气垫,SKINTIFIC-1892,柔霧控油藍氣墊替換芯,哑光蓝色气垫替换芯-02 11g
TP,唇部,TCC108002,3D水光嘟嘟,3D嘟嘟唇彩 002
SKT,防晒,SKINTIFIC-122,水感防晒乳,水感防晒乳30g
SKT,气垫,SKINTIFIC-1342,柔霧控油藍氣墊,哑光蓝色气垫02 11g
SKT,其他/赠品,SKINTIFIC-209,VC亮白煥亮水,SKINTIFIC-VC亮白煥亮水80ml
G2G,洗面奶,G2G-34,藍莓洗面乳,GLAD2GLOW 藍莓潔面乳 70ml
SKT,气垫,SKINTIFIC-26系列(含NW),無暇金氣墊,【SKINTIFIC】無瑕氣墊粉底液多色11g (正裝)
TP,唇部,TCP133004,多用唇泥,多用唇泥罐004
TP,唇部,TCP133001,多用唇泥,多用唇泥罐001
