"brand","month","sku","product","quantity","channel"
"G2G","2025-10","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","2012","POYA"
"G2G","2025-10","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","1749","POYA"
"G2G","2025-10","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","1543","POYA"
"G2G","2025-10","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","1293","POYA"
"G2G","2025-10","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","1237","POYA"
"G2G","2025-10","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","865","POYA"
"G2G","2025-10","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","534","POYA"
"G2G","2025-10","G2G-248","GLAD2GLOW 紅石榴透亮保濕面霜100g","18","Watsons"
"G2G","2025-10","G2G-249","GLAD2GLOW 藍莓保濕面霜100g","5","Watsons"
"G2G","2025-10","G2G-250","GLAD2GLOW 視黃醇面霜100g","13","Watsons"
"G2G","2025-10","G2G-26","GLAD2GLOW淨透377柚光精華17ml","413","POYA"
"G2G","2025-10","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","1506","POYA"
"G2G","2025-10","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","5572","POYA"
"G2G","2025-10","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","1331","POYA"
"G2G","2025-10","G2G-34","GLAD2GLOW藍莓潔面乳70ml","227","POYA"
"G2G","2025-10","G2G-35","GLAD2GLOW 377淨透煥采面霜30g","407","POYA"
"G2G","2025-10","G2G-38","GLAD2GLOW舒緩保濕凝露30g","271","POYA"
"G2G","2025-10","G2G-39","GLAD2GLOW 淨膚調理棉片30片","5","Watsons"
"G2G","2025-10","G2G-40","GLAD2GLOW舒緩保濕凝露55g","443","POYA"
"G2G","2025-10","G2G-42","GLAD2GLOW櫻花卸妝水300ml","814","POYA"
"G2G","2025-10","G2G-43","GLAD2GLOW牛奶潔面乳80g","2736","POYA"
"G2G","2025-10","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","1038","POYA"
"G2G","2025-10","G2G-51","GLAD2GLOW視黃醇精華17ml","1469","POYA"
"G2G","2025-10","G2G-72","GLAD2GLOW積雪草淨化調理潔面凝露70ml","275","POYA"
"G2G","2025-10","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","401","POYA"
"G2G","2025-10","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","488","POYA"
"G2G","2025-10","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","559","POYA"
"G2G","2025-10","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","366","POYA"
"G2G","2025-10","G2G-82","GLAD2GLOW淨化調理面霜30g","403","POYA"
"G2G","2025-10","G2G-83","GLAD2GLOW視黃醇面霜30g","797","POYA"
"G2G","2025-11","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","1457","POYA"
"G2G","2025-11","G2G-07","GLAD2GLOW藍莓保濕面霜30g","510","POYA"
"G2G","2025-11","G2G-102","GLAD2GLOW積雪草化妝水80ml","236","POYA"
"G2G","2025-11","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","1171","POYA"
"G2G","2025-11","G2G-202","GLAD2GLOW 積雪草卸妝油200ml","148","Watsons"
"G2G","2025-11","G2G-208","GLAD2GLOW 亮顏霜30ml","87","Watsons"
"G2G","2025-11","G2G-212","GLAD2GLOW 完美VC洗面乳80g","105","Watsons"
"G2G","2025-11","G2G-214","GLAD2GLOW 完美VC精華17ml","154","Watsons"
"G2G","2025-11","G2G-215","GLAD2GLOW 完美VC保濕霜30g","119","Watsons"
"G2G","2025-11","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","1594","POYA"
"G2G","2025-11","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","2173","POYA"
"G2G","2025-11","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","1997","POYA"
"G2G","2025-11","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","1521","POYA"
"G2G","2025-11","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","1491","POYA"
"G2G","2025-11","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","924","POYA"
"G2G","2025-11","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","564","POYA"
"G2G","2025-11","G2G-248","GLAD2GLOW 紅石榴透亮保濕面霜100g","210","Watsons"
"G2G","2025-11","G2G-249","GLAD2GLOW 藍莓保濕面霜100g","38","Watsons"
"G2G","2025-11","G2G-250","GLAD2GLOW 視黃醇面霜100g","106","Watsons"
"G2G","2025-11","G2G-26","GLAD2GLOW淨透377柚光精華17ml","455","POYA"
"G2G","2025-11","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","714","POYA"
"G2G","2025-11","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","5371","POYA"
"G2G","2025-11","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","2691","POYA"
"G2G","2025-11","G2G-34","GLAD2GLOW藍莓潔面乳70ml","163","POYA"
"G2G","2025-11","G2G-35","GLAD2GLOW 377淨透煥采面霜30g","339","POYA"
"G2G","2025-11","G2G-38","GLAD2GLOW舒緩保濕凝露30g","135","POYA"
"G2G","2025-11","G2G-39","GLAD2GLOW 淨膚調理棉片30片","43","Watsons"
"G2G","2025-11","G2G-40","GLAD2GLOW舒緩保濕凝露55g","335","POYA"
"G2G","2025-11","G2G-42","GLAD2GLOW櫻花卸妝水300ml","491","POYA"
"G2G","2025-11","G2G-43","GLAD2GLOW牛奶潔面乳80g","1276","POYA"
"G2G","2025-11","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","476","POYA"
"G2G","2025-11","G2G-51","GLAD2GLOW視黃醇精華17ml","752","POYA"
"G2G","2025-11","G2G-72","GLAD2GLOW積雪草淨化調理潔面凝露70ml","191","POYA"
"G2G","2025-11","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","491","POYA"
"G2G","2025-11","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","582","POYA"
"G2G","2025-11","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","625","POYA"
"G2G","2025-11","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","468","POYA"
"G2G","2025-11","G2G-82","GLAD2GLOW淨化調理面霜30g","337","POYA"
"G2G","2025-11","G2G-83","GLAD2GLOW視黃醇面霜30g","561","POYA"
"G2G","2025-12","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","2089","POYA"
"G2G","2025-12","G2G-07","GLAD2GLOW藍莓保濕面霜30g","440","POYA"
"G2G","2025-12","G2G-102","GLAD2GLOW積雪草化妝水80ml","267","POYA"
"G2G","2025-12","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","1308","POYA"
"G2G","2025-12","G2G-1941","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-01","1","POYA"
"G2G","2025-12","G2G-202","GLAD2GLOW 積雪草卸妝油200ml","217","Watsons"
"G2G","2025-12","G2G-208","GLAD2GLOW 亮顏霜30ml","236","Watsons"
"G2G","2025-12","G2G-212","GLAD2GLOW 完美VC洗面乳80g","131","Watsons"
"G2G","2025-12","G2G-214","GLAD2GLOW 完美VC精華17ml","243","Watsons"
"G2G","2025-12","G2G-215","GLAD2GLOW 完美VC保濕霜30g","223","Watsons"
"G2G","2025-12","G2G-230N","GLAD2GLOW完美氣墊粉底11g-00N","1899","POYA"
"G2G","2025-12","G2G-231N","GLAD2GLOW完美氣墊粉底11g-01N","2119","POYA"
"G2G","2025-12","G2G-231W","GLAD2GLOW完美氣墊粉底11g-01W","2563","POYA"
"G2G","2025-12","G2G-232N","GLAD2GLOW完美氣墊粉底11g-02N","1528","POYA"
"G2G","2025-12","G2G-232W","GLAD2GLOW完美氣墊粉底11g-02W","1860","POYA"
"G2G","2025-12","G2G-233N","GLAD2GLOW完美氣墊粉底11g-03N","1061","POYA"
"G2G","2025-12","G2G-234N","GLAD2GLOW完美氣墊粉底11g-04N","641","POYA"
"G2G","2025-12","G2G-248","GLAD2GLOW 紅石榴透亮保濕面霜100g","267","Watsons"
"G2G","2025-12","G2G-249","GLAD2GLOW 藍莓保濕面霜100g","57","Watsons"
"G2G","2025-12","G2G-250","GLAD2GLOW 視黃醇面霜100g","100","Watsons"
"G2G","2025-12","G2G-26","GLAD2GLOW淨透377柚光精華17ml","322","POYA"
"G2G","2025-12","G2G-27","GLAD2GLOW火山泥潔淨泥膜棒25g","713","POYA"
